#,Emoticon,Meaning,Votes
297,༼ ༎ຶ ෴ ༎ຶ༽,Distraught,132.0
298,∊ಠ_ಠ∍,Distressed,260.0
299,%-},Dizzy,200.0
300,d[-_-]b,DJ,125.0
301,:-$,Do Not Tell Anyone,233.0
302,:-)-o,Doctor,300.0
303,◤◡ᴥ◡◥,Dog,132.0
304,8==3,Dog Bone,250.0
305,(&),Dog Face,409.0
306,V●ᴥ●V,Doggy,132.0
307,(>.<),Doh,200.0
308,#-o,Doh!,100.0
309,＿φ( °-°)/,Doing Homework,168.0
310,＿φ(°-°=),Doing homework,142.0
311,[$(1)$],Dollar,250.0
312,===:-D,Don King,500.0
313,(8)<=,Doraemon,300.0
314,:D)),Double Chin,275.0
315,: T,Doubtful,200.0
316,}:-(=,Dracula,450.0
317,\_____/ (.'_'.) \. ./,Dragon,211.0
318,(_ _)..ooOO,Dreaming,217.0
319,*DRINK*,Drink,333.0
320,( -_-)旦~,Drinking,250.0
321,(*¬*),Drooling,132.0
322,~~~~\o/~~~~,Drowning,400.0
323,8-=( ),Drumstick,500.0
324,:*),Drunk,100.0
325,\_O<,Duck,130.0
326,( `_)?(_' ),Dueling,320.0
327,:-F,Dufus,400.0
328,|-(,Dull,267.0
329,p^b,Dumb,300.0
330,8),Dumb Person,267.0
331,Oo!,Dumbfounded,300.0
332,<:-),Dunce,200.0
333,()))TNT)))-x,Dynamite,400.0
334,(E),E-mail,433.0
335,ʘ‿ʘ,Eager,250.0
336,p^_^q,Earphones,400.0
337,::--((,Earthquake,250.0
338,:g,Eating,300.0
339,џ(ºДºџ),Edward Scissorhands,400.0
340,___ .-+(( `*-. /+ ))* *'. | +(( * *\ | + ))* * /  \ +(( * .' '-.))*_.-',Egg,250.0
341,(:-|,Egghead,300.0
342,ε=┌( ≧▽)┘,Elated,300.0
343,~~~\8-O,Electrocuted,400.0
344,:~,Elephant,200.0
345,*<:-)-:--:,Elf,275.0
346,⪿ ↂ ˒̫̮ ↂ ⫀,Elton John,257.0
347,@=),Elvis,300.0
348,&:-),Elvis Presley,350.0
349,"^^""",Embarrassed,167.0
350,(//_-),Emo,127.0
351,♥‿♥,Enamored,267.0
352,˃ʍ˂,Enraged,300.0
353,(v),Envious,400.0
354,(@){,Euphonium,333.0
355,((((((^_^;),Evading,233.0
